Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,44,Societe Generale,Banking,France,85439.0,5254.9,1518744.0,46915.0
2012,94,Societe Generale,Banking,France,98619.0,3320.9,1531058.0,25787.0
2013,146,Societe Generale,Banking,France,107784.0,1020.4,1648907.0,29518.0
2014,103,Societe Generale,Banking,France,45592.0,2887.6,1702129.0,49971.0
2015,101,Societe Generale,Banking,France,54173.0,3570.8,1582951.0,40651.0
2016,115,Societe Generale,Banking,France,28432.0,4436.8,1449559.0,32464.0
2017,112,Societe Generale,Banking,France,27985.0,4006.6,1457875.0,39893.0
2018,161,Societe Generale,Banking,France,27831.0,2639.0,1531174.0,38341.0
2019,157,Societe Generale,Banking,France,49456.0,4014.0,1496873.0,24476.0
2020,228,Societe Generale,Banking,France,47817.0,2838.4,1522450.0,12375.0
2021,526,Societe Generale,Banking,France,41447.0,-990.6,1788771.0,20917.0
2022,225,Societe Generale,Banking,France,35572.0,5970.2,1665371.0,19370.0
