Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,182,Sony,Technology Hardware & Equipment,Japan,70600.0,1080,97860.0,48030.0
2009,82,Sony,Technology Hardware & Equipment,Japan,88890.0,3700,124120.0,17120.0
2010,421,Sony,Technology Hardware & Equipment,Japan,79390.0,-1020,118000.0,34330.0
2011,456,Sony,Consumer Durables,Japan,77225.0,-436.6,133375.0,34419.0
2012,477,Sony,Consumer Durables,Japan,86477.0,-3122.8,153057.0,22061.0
2013,506,Sony,Consumer Durables,Japan,78515.0,-5516.5,160340.0,17603.0
2014,233,Sony,Consumer Durables,Japan,78198.0,1076.4,148931.0,20147.0
2015,478,Sony,Consumer Durables,Japan,76943.0,-1499.6,135763.0,34183.0
2016,192,Sony,Consumer Durables,Japan,67892.0,1068.3,142206.0,34140.0
2017,449,Sony,Consumer Durables,Japan,69242.0,-393.0,151713.0,40441.0
2018,86,Sony,Consumer Durables,Japan,77089.0,4428.3,179272.0,59896.0
2019,73,Sony,Consumer Durables,Japan,76865.0,7348.0,190695.0,60146.0
2020,58,Sony,Consumer Durables,Japan,79246.0,6030.7,208305.0,78728.0
2021,35,Sony,Consumer Durables,Japan,79871.0,10091.2,250677.0,137257.0
2022,56,Sony,Consumer Durables,Japan,89903.0,7991.9,260476.0,108836.0
