Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,697,Southwest Airlines,Transportation,United States,9860.0,650,16770.0,9020.0
2009,971,Southwest Airlines,Transportation,United States,11020.0,180,14310.0,4360.0
2010,935,Southwest Airlines,Transportation,United States,10350.0,100,14270.0,9450.0
2011,740,Southwest Airlines,Airline,United States,12104.0,459.0,15463.0,9509.0
2012,1059,Southwest Airlines,Airline,United States,15658.0,178.0,18068.0,6423.0
2013,771,Southwest Airlines,Airline,United States,17088.0,421.0,18596.0,9014.0
2014,575,Southwest Airlines,Airline,United States,17700.0,757.0,19345.0,16806.0
2015,482,Southwest Airlines,Airline,United States,18605.0,1139.0,20200.0,27735.0
2016,342,Southwest Airlines,Airline,United States,20232.0,2242.0,22241.0,30176.0
2017,339,Southwest Airlines,Airline,United States,20425.0,2243.0,24772.0,33556.0
2018,380,Southwest Airlines,Airline,United States,21233.0,3600.0,25503.0,30416.0
2019,398,Southwest Airlines,Transportation,United States,21965.0,2465.0,27303.0,28524.0
2020,482,Southwest Airlines,Transportation,United States,21511.0,1820.0,26885.0,15903.0
2021,857,Southwest Airlines,Transportation,United States,9048.0,-3074.0,36573.0,36891.0
2022,631,Southwest Airlines,Transportation,United States,15790.0,978.0,38166.0,27775.0
