Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,111,Standard Chartered,Banking,United Kingdom,23504.0,4679.4,598738.0,62498.0
2013,98,Standard Chartered,Banking,United Kingdom,26908.0,4887.0,636518.0,64371.0
2014,123,Standard Chartered,Banking,United Kingdom,25582.0,4094.3,674380.0,51074.0
2015,153,Standard Chartered,Banking,United Kingdom,24815.0,2584.4,725914.0,39779.0
2016,516,Standard Chartered,Banking,United Kingdom,20549.0,-2177.7,640483.0,26303.0
2017,535,Standard Chartered,Banking,United Kingdom,19433.0,-247.0,646692.0,30249.0
2018,309,Standard Chartered,Banking,United Kingdom,20958.0,892.6,663501.0,34411.0
2019,357,Standard Chartered,Banking,United Kingdom,23975.0,635.0,688762.0,28939.0
2020,253,Standard Chartered,Banking,United Kingdom,24707.0,1928.6,720398.0,16217.0
2021,452,Standard Chartered,Banking,United Kingdom,20956.0,425.8,789050.0,21252.0
2022,352,Standard Chartered,Banking,United Kingdom,18875.0,1956.1,827818.0,19692.0
