Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,746,Stryker,Health Care Equipment & Services,United States,6000.0,1020,7350.0,26770.0
2009,696,Stryker,Health Care Equipment & Services,United States,6720.0,1150,7600.0,13350.0
2010,583,Stryker,Health Care Equipment & Services,United States,6720.0,1110,9070.0,21420.0
2011,606,Stryker,Health Care Equipment & Services,United States,7320.0,1273.4,10895.0,24656.0
2012,621,Stryker,Health Care Equipment & Services,United States,8307.0,1344.5,12405.0,20918.0
2013,620,Stryker,Health Care Equipment & Services,United States,8657.0,1298.0,13206.0,25067.0
2014,608,Stryker,Health Care Equipment & Services,United States,9021.0,1006.0,15743.0,30967.0
2015,719,Stryker,Health Care Equipment & Services,United States,9675.0,515.0,17713.0,34775.0
2016,472,Stryker,Health Care Equipment & Services,United States,10062.0,1617.0,19668.0,40827.0
2017,446,Stryker,Health Care Equipment & Services,United States,11325.0,1647.0,20435.0,48787.0
2018,543,Stryker,Health Care Equipment & Services,United States,12730.0,1019.0,22133.0,63337.0
2019,366,Stryker,Health Care Equipment & Services,United States,13601.0,3553.0,27229.0,67256.0
2020,345,Stryker,Health Care Equipment & Services,United States,14956.0,2164.0,29440.0,69879.0
2021,325,Stryker,Health Care Equipment & Services,United States,14351.0,1599.0,34330.0,96764.0
2022,405,Stryker,Health Care Equipment & Services,United States,17108.0,1994.0,34631.0,93787.0
