Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1522,Sun Pharma Industries,Drugs & Biotechnology,India,820.0,370,1490.0,4110.0
2010,1470,Sun Pharma Industries,Drugs & Biotechnology,India,810.0,350,1590.0,6920.0
2011,1684,Sun Pharma Industries,Drugs & Biotechnology,India,850.0,301.4,1974.0,9627.0
2012,1504,Sun Pharma Industries,Drugs & Biotechnology,India,1284.0,407.7,2649.0,11247.0
2013,1325,Sun Pharma Industries,Drugs & Biotechnology,India,1574.0,508.6,3058.0,15958.0
2014,1293,Sun Pharma Industries,Drugs & Biotechnology,India,2078.0,548.1,4072.0,19884.0
2015,1225,Sun Pharma Industries,Drugs & Biotechnology,India,2786.0,520.3,5110.0,38960.0
2016,1121,Sun Pharma Industries,Drugs & Biotechnology,India,4132.0,606.2,7737.0,29666.0
2017,1023,Sun Pharma Industries,Drugs & Biotechnology,India,4594.0,1109.4,9078.0,24870.0
2018,1944,Sun Pharma Industries,Drugs & Biotechnology,India,4093.0,318.9,9858.0,16823.0
2019,1606,Sun Pharma Industries,Drugs & Biotechnology,India,4220.0,484.0,9762.0,15988.0
2020,1483,Sun Pharma Industries,Drugs & Biotechnology,India,4518.0,568.1,9196.0,14852.0
2021,1919,Sun Pharma Industries,Drugs & Biotechnology,India,4474.0,325.1,9172.0,20849.0
2022,1362,Sun Pharma Industries,Drugs & Biotechnology,India,5103.0,871.6,9303.0,28969.0
