Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1707,Suning Appliance,Retailing,China,3190.0,90,1170.0,13390.0
2009,1055,Suning Appliance,Retailing,China,7310.0,320,3150.0,7040.0
2010,949,Suning Appliance,Retailing,China,7310.0,320,3150.0,12420.0
2011,957,Suning Appliance,Retailing,China,8528.0,423.3,5223.0,14972.0
2012,919,Suning Appliance,Retailing,China,11443.0,608.7,6621.0,12482.0
2013,896,Suning Appliance,Retailing,China,14902.0,766.0,9430.0,7403.0
2014,1123,Suning Appliance,Retailing,China,17087.0,153.5,13587.0,8564.0
2015,978,Suning Appliance,Retailing,China,17634.0,140.7,13249.0,16179.0
2016,980,Suning Appliance,Retailing,China,21473.0,138.8,13563.0,12563.0
2017,897,Suning Appliance,Retailing,China,22278.0,106.0,19738.0,14777.0
2018,600,Suning Appliance,Retailing,China,30090.0,640.6,25742.0,19709.0
