Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,519,T&D Holdings,Insurance,Japan,18700.0,330,119910.0,12820.0
2009,447,T&D Holdings,Insurance,Japan,22820.0,370,133620.0,5610.0
2010,661,T&D Holdings,Insurance,Japan,22400.0,-920,124230.0,7310.0
2011,588,T&D Holdings,Insurance,Japan,23739.0,259.9,136083.0,9749.0
2012,644,T&D Holdings,Insurance,Japan,21782.0,287.2,151861.0,8415.0
2013,619,T&D Holdings,Insurance,Japan,24544.0,323.3,155114.0,8105.0
2014,473,T&D Holdings,Insurance,Japan,21603.0,873.2,134273.0,8016.0
2015,489,T&D Holdings,Insurance,Japan,20820.0,883.8,123667.0,9692.0
2016,602,T&D Holdings,Insurance,Japan,16268.0,665.7,123140.0,6746.0
2017,544,T&D Holdings,Insurance,Japan,16591.0,703.2,128600.0,9156.0
2018,634,T&D Holdings,Insurance,Japan,16215.0,601.7,135548.0,10331.0
2019,703,T&D Holdings,Insurance,Japan,17622.0,731.0,141567.0,6804.0
2020,741,T&D Holdings,Insurance,Japan,18633.0,571.5,150947.0,5275.0
2021,539,T&D Holdings,Insurance,Japan,18872.0,1472.9,169140.0,7357.0
2022,807,T&D Holdings,Insurance,Japan,20275.0,687.7,158474.0,7852.0
