Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,484,TE Connectivity,Consumer Durables,Switzerland,12378.0,1196.0,18102.0,15436.0
2012,502,TE Connectivity,Consumer Durables,Switzerland,14421.0,1240.0,17523.0,15854.0
2013,533,TE Connectivity,Consumer Durables,Switzerland,13246.0,1129.0,18136.0,17580.0
2014,498,TE Connectivity,Consumer Durables,Switzerland,13472.0,1352.0,18443.0,24708.0
2015,466,TE Connectivity,Consumer Durables,Switzerland,14052.0,1900.0,20153.0,28907.0
2016,498,TE Connectivity,Consumer Durables,Switzerland,11887.0,2044.0,17841.0,21893.0
2017,502,TE Connectivity,Consumer Durables,Switzerland,12468.0,2071.0,17615.0,25976.0
2018,570,TE Connectivity,Consumer Durables,Switzerland,14048.0,1319.0,19247.0,33116.0
2019,507,TE Connectivity,Technology Hardware & Equipment,Switzerland,14365.0,2977.0,19188.0,30250.0
2020,672,TE Connectivity,Technology Hardware & Equipment,Switzerland,13052.0,699.0,19367.0,24546.0
2021,889,TE Connectivity,Technology Hardware & Equipment,Switzerland,12526.0,114.0,20266.0,44138.0
2022,551,TE Connectivity,Technology Hardware & Equipment,Switzerland,15219.0,2446.0,21409.0,40007.0
