Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1360,Taiwan Mobile,Telecommunications Services,Taiwan,2110.0,470,2730.0,4960.0
2010,1398,Taiwan Mobile,Telecommunications Services,Taiwan,1730.0,420,2530.0,7170.0
2011,1504,Taiwan Mobile,Telecommunications services,Taiwan,2405.0,473.8,2893.0,8635.0
2012,1497,Taiwan Mobile,Telecommunications services,Taiwan,2769.0,458.3,3058.0,10080.0
2013,1406,Taiwan Mobile,Telecommunications services,Taiwan,3378.0,505.7,3164.0,12032.0
2014,1504,Taiwan Mobile,Telecommunications services,Taiwan,3677.0,525.0,4642.0,10769.0
2015,1548,Taiwan Mobile,Telecommunications services,Taiwan,3717.0,495.2,4858.0,12285.0
2016,1510,Taiwan Mobile,Telecommunications services,Taiwan,3658.0,494.0,4752.0,11197.0
2017,1527,Taiwan Mobile,Telecommunications services,Taiwan,3617.0,475.0,4697.0,12748.0
2018,1791,Taiwan Mobile,Telecommunications services,Taiwan,3956.0,457.0,5325.0,12297.0
