Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,667,Tata Consultancy Services,IT Software & Services,India,8379.0,2035.8,7308.0,45533.0
2013,636,Tata Consultancy Services,IT Software & Services,India,9613.0,2047.3,8075.0,56890.0
2014,542,Tata Consultancy Services,IT Software & Services,India,13085.0,2971.2,9229.0,71250.0
2015,485,Tata Consultancy Services,IT Software & Services,India,15072.0,3522.6,11048.0,80268.0
2016,385,Tata Consultancy Services,IT Software & Services,India,16595.0,3706.3,13498.0,71585.0
2017,376,Tata Consultancy Services,IT Software & Services,India,17379.0,3883.5,14512.0,74475.0
2018,404,Tata Consultancy Services,IT Software & Services,India,19096.0,4006.1,16298.0,98445.0
2019,374,Tata Consultancy Services,IT Software & Services,India,20940.0,4500.0,16592.0,116097.0
2020,375,Tata Consultancy Services,IT Software & Services,India,22135.0,4561.0,15981.0,100679.0
2021,322,Tata Consultancy Services,IT Software & Services,India,22116.0,4368.6,17884.0,158878.0
2022,386,Tata Consultancy Services,IT Software & Services,India,25735.0,5143.9,18676.0,172788.0
