Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,738,Tata Steel,Materials,India,5830.0,970,11480.0,14630.0
2009,463,Tata Steel,Materials,India,32770.0,3080,31160.0,2460.0
2010,345,Tata Steel,Materials,India,28690.0,960,23950.0,11040.0
2011,769,Tata Steel,Diversified Metals & Mining,India,22844.0,-448.3,24418.0,11599.0
2012,423,Tata Steel,Diversified Metals & Mining,India,26660.0,2015.6,30341.0,8678.0
2013,590,Tata Steel,Diversified Metals & Mining,India,26128.0,1025.6,28810.0,6368.0
2014,983,Tata Steel,Diversified Metals & Mining,India,23804.0,-1296.8,27242.0,6526.0
2015,903,Tata Steel,Diversified Metals & Mining,India,24086.0,456.3,27933.0,4964.0
2016,1178,Tata Steel,Diversified Metals & Mining,India,18718.0,-858.5,25158.0,5164.0
2017,1076,Tata Steel,Diversified Metals & Mining,India,16141.0,-443.7,25682.0,7455.0
2018,1007,Tata Steel,Diversified Metals & Mining,India,19867.0,303.1,26672.0,10155.0
2019,552,Tata Steel,Materials,India,23192.0,2641.0,34334.0,8970.0
2020,828,Tata Steel,Materials,India,21083.0,772.7,34359.0,4477.0
2021,939,Tata Steel,Materials,India,18187.0,-85.7,33128.0,14318.0
2022,409,Tata Steel,Materials,India,31067.0,5009.4,34615.0,20417.0
