Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,652,Tatneft,Oil & Gas Operations,Russia,8540.0,1130,12120.0,13490.0
2009,548,Tatneft,Oil & Gas Operations,Russia,11030.0,1760,15080.0,4420.0
2010,729,Tatneft,Oil & Gas Operations,Russia,10070.0,280,12810.0,10680.0
2011,523,Tatneft,Oil & Gas Operations,Russia,9340.0,1793.7,16281.0,13631.0
2012,529,Tatneft,Oil & Gas Operations,Russia,10651.0,1526.2,18482.0,15066.0
2013,484,Tatneft,Oil & Gas Operations,Russia,12992.0,2094.0,19543.0,14839.0
2014,519,Tatneft,Oil & Gas Operations,Russia,14293.0,2364.6,20366.0,13017.0
2015,710,Tatneft,Oil & Gas Operations,Russia,12337.0,2388.6,12216.0,12088.0
2016,810,Tatneft,Oil & Gas Operations,Russia,9017.0,1613.9,10936.0,11227.0
2017,673,Tatneft,Oil & Gas Operations,Russia,8659.0,1602.9,17931.0,14577.0
2018,577,Tatneft,Oil & Gas Operations,Russia,11949.0,2111.1,19236.0,25551.0
2019,524,Tatneft,Oil & Gas Operations,Russia,14876.0,3372.0,17316.0,27238.0
2020,539,Tatneft,Oil & Gas Operations,Russia,14791.0,2971.4,19942.0,16739.0
2021,751,Tatneft,Oil & Gas Operations,Russia,10213.0,1430.3,17082.0,17294.0
2022,788,Tatneft,Oil & Gas Operations,Russia,17392.0,2692.2,20029.0,10462.0
