Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,251,Telenor,Telecommunications Services,Norway,17010.0,3310,29080.0,34790.0
2009,299,Telenor,Telecommunications Services,Norway,17200.0,2360,26920.0,8700.0
2010,273,Telenor,Telecommunications Services,Norway,16850.0,1550,28490.0,21420.0
2011,291,Telenor,Telecommunications services,Norway,16284.0,2461.0,29372.0,26717.0
2012,353,Telenor,Telecommunications services,Norway,16441.0,1324.6,27798.0,29390.0
2013,326,Telenor,Telecommunications services,Norway,18272.0,1704.9,29564.0,34096.0
2014,330,Telenor,Telecommunications services,Norway,17690.0,2244.3,30589.0,33075.0
2015,386,Telenor,Telecommunications services,Norway,17462.0,1640.8,26042.0,30898.0
2016,598,Telenor,Telecommunications services,Norway,15573.0,469.9,23150.0,24633.0
2017,715,Telenor,Telecommunications services,Norway,15530.0,337.2,23969.0,24356.0
2018,493,Telenor,Telecommunications services,Norway,14957.0,1576.3,25022.0,32374.0
2019,555,Telenor,Telecommunications Services,Norway,13558.0,1383.0,22089.0,29000.0
2020,691,Telenor,Telecommunications Services,Norway,13301.0,528.2,26435.0,21891.0
2021,488,Telenor,Telecommunications Services,Norway,13046.0,1670.2,29962.0,25713.0
2022,1064,Telenor,Telecommunications Services,Norway,12979.0,237.8,25599.0,20412.0
