Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,625,Tenaga Nasional,Utilities,Malaysia,6660.0,1160,19340.0,12270.0
2009,575,Tenaga Nasional,Utilities,Malaysia,7580.0,760,20580.0,7540.0
2010,709,Tenaga Nasional,Utilities,Malaysia,8170.0,260,20260.0,10210.0
2011,550,Tenaga Nasional,Utilities,Malaysia,9625.0,1016.5,23589.0,11144.0
2012,905,Tenaga Nasional,Utilities,Malaysia,10797.0,167.4,25002.0,11351.0
2013,516,Tenaga Nasional,Utilities,Malaysia,11471.0,1343.2,28315.0,12592.0
2014,443,Tenaga Nasional,Utilities,Malaysia,11989.0,1573.8,31308.0,20695.0
2015,408,Tenaga Nasional,Utilities,Malaysia,13611.0,2179.3,33343.0,22321.0
2016,464,Tenaga Nasional,Utilities,Malaysia,11178.0,1495.0,27547.0,20991.0
2017,490,Tenaga Nasional,Utilities,Malaysia,10922.0,1727.4,30912.0,17435.0
2018,503,Tenaga Nasional,Utilities,Malaysia,11043.0,1923.0,35650.0,23084.0
2019,612,Tenaga Nasional,Utilities,Malaysia,12488.0,923.0,37192.0,16693.0
2020,540,Tenaga Nasional,Utilities,Malaysia,12295.0,1093.2,43723.0,16188.0
2021,679,Tenaga Nasional,Utilities,Malaysia,10465.0,855.0,45105.0,13933.0
2022,837,Tenaga Nasional,Utilities,Malaysia,12696.0,883.4,43831.0,11849.0
