Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,778,Ternium,Materials,Luxembourg,8180.0,780,13740.0,7470.0
2009,1032,Ternium,Materials,Luxembourg,8460.0,720,10670.0,1320.0
2010,854,Ternium,Materials,Luxembourg,4960.0,720,10290.0,6910.0
2011,920,Ternium,Diversified Metals & Mining,Luxembourg,7382.0,622.0,11112.0,7113.0
2012,1176,Ternium,Diversified Metals & Mining,Luxembourg,9157.0,513.5,10747.0,4984.0
2013,1843,Ternium,Diversified Metals & Mining,Luxembourg,8608.0,139.2,10867.0,3965.0
2014,1345,Ternium,Diversified Metals & Mining,Luxembourg,8530.0,455.4,10471.0,5946.0
2015,1541,Ternium,Diversified Metals & Mining,Luxembourg,8726.0,452.4,10331.0,3622.0
2017,1671,Ternium,Diversified Metals & Mining,Luxembourg,6000.0,595.7,8254.0,5137.0
2018,1186,Ternium,Diversified Metals & Mining,Luxembourg,9720.0,905.0,12415.0,7841.0
2019,1140,Ternium,Materials,Luxembourg,11547.0,1500.0,12546.0,5263.0
2020,1530,Ternium,Materials,Luxembourg,10314.0,571.0,12934.0,2668.0
2021,1442,Ternium,Materials,Luxembourg,8624.0,767.8,12851.0,7782.0
2022,886,Ternium,Materials,Luxembourg,15983.0,3800.4,17102.0,8588.0
