Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1954,Thai Beverage,"Food, Drink & Tobacco",Thailand,3370.0,350,2670.0,4590.0
2009,1841,Thai Beverage,"Food, Drink & Tobacco",Thailand,3050.0,300,2300.0,3170.0
2010,1744,Thai Beverage,"Food, Drink & Tobacco",Thailand,3240.0,320,2310.0,4460.0
2011,1747,Thai Beverage,"Food, Drink & Tobacco",Thailand,4036.0,353.0,2564.0,5737.0
2012,1838,Thai Beverage,"Food, Drink & Tobacco",Thailand,4188.0,381.5,3155.0,6086.0
2013,1080,Thai Beverage,"Food, Drink & Tobacco",Thailand,5184.0,917.0,6789.0,12271.0
2014,1261,Thai Beverage,"Food, Drink & Tobacco",Thailand,5067.0,620.6,5579.0,12065.0
2015,1250,Thai Beverage,"Food, Drink & Tobacco",Thailand,4991.0,668.2,5228.0,14584.0
2016,1129,Thai Beverage,"Food, Drink & Tobacco",Thailand,5026.0,772.5,5058.0,13570.0
2017,1107,Thai Beverage,"Food, Drink & Tobacco",Thailand,5276.0,756.7,5205.0,17085.0
2018,1123,Thai Beverage,"Food, Drink & Tobacco",Thailand,5563.0,873.6,12569.0,15232.0
2019,1044,Thai Beverage,"Food, Drink & Tobacco",Thailand,7944.0,713.0,12806.0,15280.0
2020,1002,Thai Beverage,"Food, Drink & Tobacco",Thailand,8715.0,782.2,13781.0,12311.0
2021,1129,Thai Beverage,"Food, Drink & Tobacco",Thailand,8127.0,729.9,13701.0,14030.0
2022,1487,Thai Beverage,"Food, Drink & Tobacco",Thailand,7708.0,791.3,14013.0,13019.0
