Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,629,Thales,Aerospace & Defense,France,13540.0,510,19240.0,12220.0
2009,425,Thales,Aerospace & Defense,France,17630.0,780,24360.0,8090.0
2010,794,Thales,Aerospace & Defense,France,17960.0,-280,25810.0,7670.0
2011,905,Thales,Aerospace & Defense,France,17570.0,-144.0,24236.0,7447.0
2012,638,Thales,Aerospace & Defense,France,16876.0,663.0,26119.0,7516.0
2013,600,Thales,Aerospace & Defense,France,18206.0,688.8,28152.0,8811.0
2014,527,Thales,Aerospace & Defense,France,18185.0,761.3,29619.0,13797.0
2015,599,Thales,Aerospace & Defense,France,17209.0,947.3,24190.0,11955.0
2016,521,Thales,Aerospace & Defense,France,15595.0,848.4,23421.0,17797.0
2017,497,Thales,Aerospace & Defense,France,16466.0,1046.9,23932.0,20594.0
2018,532,Thales,Aerospace & Defense,France,17816.0,926.8,28017.0,28030.0
2019,503,Thales,Aerospace & Defense,France,18705.0,1158.0,29157.0,25739.0
2020,487,Thales,Aerospace & Defense,France,20595.0,1255.7,35048.0,16096.0
2021,577,Thales,Aerospace & Defense,France,19367.0,551.1,38918.0,21946.0
2022,526,Thales,Aerospace & Defense,France,19139.0,1287.1,37347.0,28564.0
