Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,158,Tokio Marine Holdings,Insurance,Japan,36540.0,1090,172980.0,18530.0
2010,334,Tokio Marine Holdings,Insurance,Japan,32450.0,240,152150.0,22290.0
2011,175,Tokio Marine Holdings,Insurance,Japan,37123.0,1374.1,183903.0,24689.0
2012,242,Tokio Marine Holdings,Insurance,Japan,38028.0,865.2,197630.0,22013.0
2013,503,Tokio Marine Holdings,Insurance,Japan,39447.0,72.5,196418.0,23495.0
2014,189,Tokio Marine Holdings,Insurance,Japan,42709.0,1971.5,181211.0,23015.0
2015,181,Tokio Marine Holdings,Insurance,Japan,38686.0,2341.9,170714.0,29490.0
2016,186,Tokio Marine Holdings,Insurance,Japan,35673.0,1770.2,182318.0,26492.0
2017,143,Tokio Marine Holdings,Insurance,Japan,44613.0,2777.1,189512.0,30563.0
2018,190,Tokio Marine Holdings,Insurance,Japan,47641.0,1828.7,206911.0,35929.0
2019,163,Tokio Marine Holdings,Insurance,Japan,47650.0,3137.0,212136.0,35777.0
2020,151,Tokio Marine Holdings,Insurance,Japan,48517.0,2565.0,224535.0,32967.0
2021,203,Tokio Marine Holdings,Insurance,Japan,49650.0,1366.1,247607.0,34716.0
2022,178,Tokio Marine Holdings,Insurance,Japan,50573.0,3851.2,234905.0,35194.0
