Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,875,Tokyo Electron,Semiconductors,Japan,7250.0,780,6440.0,11350.0
2009,731,Tokyo Electron,Semiconductors,Japan,9080.0,1060,7820.0,6170.0
2010,1370,Tokyo Electron,Semiconductors,Japan,5220.0,80,6450.0,11130.0
2011,1589,Tokyo Electron,Semiconductors,Japan,4479.0,-96.7,7233.0,11096.0
2012,868,Tokyo Electron,Semiconductors,Japan,8045.0,865.2,9513.0,10253.0
2013,1149,Tokyo Electron,Semiconductors,Japan,7648.0,443.6,9308.0,8507.0
2014,1772,Tokyo Electron,Semiconductors,Japan,5446.0,-293.0,7624.0,10953.0
2015,1294,Tokyo Electron,Semiconductors,Japan,6146.0,507.1,6936.0,12436.0
2016,1111,Tokyo Electron,Semiconductors,Japan,5630.0,773.6,6390.0,11668.0
2017,1017,Tokyo Electron,Semiconductors,Japan,6473.0,796.8,7595.0,18053.0
2018,746,Tokyo Electron,Semiconductors,Japan,10202.0,1844.0,11365.0,32884.0
2019,721,Tokyo Electron,Semiconductors,Japan,11908.0,2328.0,10677.0,26002.0
2020,693,Tokyo Electron,Semiconductors,Japan,10368.0,1703.4,11843.0,33364.0
2021,583,Tokyo Electron,Semiconductors,Japan,12019.0,2016.8,12305.0,70196.0
2022,545,Tokyo Electron,Semiconductors,Japan,17094.0,3595.1,14974.0,67251.0
