Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,742,Toray Industries,Consumer Durables,Japan,13160.0,500,14020.0,8790.0
2009,601,Toray Industries,Consumer Durables,Japan,16530.0,480,16850.0,5370.0
2010,908,Toray Industries,Consumer Durables,Japan,15110.0,-170,14940.0,7620.0
2011,880,Toray Industries,Consumer Durables,Japan,14548.0,-151.5,16145.0,11850.0
2012,579,Toray Industries,Chemicals,Japan,18523.0,696.8,18515.0,12043.0
2013,604,Toray Industries,Chemicals,Japan,19190.0,775.8,18804.0,10434.0
2014,679,Toray Industries,Chemicals,Japan,18128.0,620.9,18375.0,10789.0
2015,661,Toray Industries,Chemicals,Japan,18648.0,686.9,18905.0,13591.0
2016,617,Toray Industries,Chemicals,Japan,17379.0,699.3,20094.0,14200.0
2017,605,Toray Industries,Chemicals,Japan,18556.0,835.9,20691.0,14184.0
2018,678,Toray Industries,Chemicals,Japan,19894.0,865.4,24381.0,13655.0
2019,680,Toray Industries,Consumer Durables,Japan,21408.0,902.0,25348.0,11311.0
2020,829,Toray Industries,Consumer Durables,Japan,20750.0,589.0,25640.0,7467.0
2021,1157,Toray Industries,Consumer Durables,Japan,17771.0,163.4,26860.0,10237.0
2022,1001,Toray Industries,Consumer Durables,Japan,19716.0,975.7,25731.0,7772.0
