Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,549,Toyota Industries,Consumer Durables,Japan,15990.0,510,30450.0,12080.0
2009,396,Toyota Industries,Consumer Durables,Japan,20050.0,810,29710.0,7040.0
2010,798,Toyota Industries,Consumer Durables,Japan,16270.0,-340,23450.0,8610.0
2011,823,Toyota Industries,Consumer Durables,Japan,14742.0,-281.1,27599.0,10126.0
2012,583,Toyota Industries,Consumer Durables,Japan,17802.0,567.9,29822.0,10036.0
2013,517,Toyota Industries,Consumer Durables,Japan,18644.0,707.8,32155.0,11733.0
2014,445,Toyota Industries,Consumer Durables,Japan,20029.0,911.3,38056.0,14825.0
2015,420,Toyota Industries,Consumer Durables,Japan,19938.0,1104.2,36920.0,19280.0
2016,381,Toyota Industries,Consumer Durables,Japan,18816.0,1540.4,39387.0,14826.0
2017,442,Toyota Industries,Consumer Durables,Japan,20017.0,1082.5,38596.0,14838.0
2018,435,Toyota Industries,Consumer Durables,Japan,18081.0,1517.4,49445.0,19985.0
2019,463,Toyota Industries,Consumer Durables,Japan,19640.0,1344.0,46435.0,17205.0
2020,429,Toyota Industries,Consumer Durables,Japan,19971.0,1341.7,48906.0,15766.0
2021,365,Toyota Industries,Consumer Durables,Japan,19392.0,1183.9,58158.0,27221.0
2022,461,Toyota Industries,Consumer Durables,Japan,23324.0,1725.9,64329.0,18924.0
