Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,516,Toyota Tsusho,Trading Companies,Japan,52870.0,660,20890.0,9070.0
2009,521,Toyota Tsusho,Trading Companies,Japan,70140.0,680,26110.0,2910.0
2010,572,Toyota Tsusho,Trading Companies,Japan,64570.0,410,21290.0,5080.0
2011,759,Toyota Tsusho,Trading Companies,Japan,54594.0,292.5,24193.0,6198.0
2012,577,Toyota Tsusho,Trading Companies,Japan,69096.0,567.4,29315.0,7017.0
2013,453,Toyota Tsusho,Trading Companies,Japan,71474.0,799.8,34358.0,9234.0
2014,516,Toyota Tsusho,Trading Companies,Japan,74794.0,681.4,37701.0,8851.0
2015,524,Toyota Tsusho,Trading Companies,Japan,81467.0,753.8,37398.0,9598.0
2016,711,Toyota Tsusho,Trading Companies,Japan,68891.0,316.3,35833.0,8596.0
2017,764,Toyota Tsusho,Trading Companies,Japan,71045.0,-140.3,34839.0,10578.0
2018,473,Toyota Tsusho,Trading Companies,Japan,58566.0,1175.0,40527.0,13142.0
2019,495,Toyota Tsusho,Trading Companies,Japan,61031.0,1142.0,40246.0,11558.0
2020,508,Toyota Tsusho,Trading Companies,Japan,61568.0,1246.7,42103.0,8515.0
2021,429,Toyota Tsusho,Trading Companies,Japan,56954.0,1014.7,47048.0,15520.0
2022,460,Toyota Tsusho,Trading Companies,Japan,69526.0,2052.4,50050.0,13037.0
