Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,879,Turkcell,Telecommunications Services,Turkey,4750.0,900,5950.0,22030.0
2009,714,Turkcell,Telecommunications Services,Turkey,5780.0,1510,7860.0,10930.0
2010,683,Turkcell,Telecommunications Services,Turkey,5890.0,1550,8000.0,13190.0
2011,770,Turkcell,Telecommunications services,Turkey,5982.0,1170.7,9795.0,12421.0
2012,1061,Turkcell,Telecommunications services,Turkey,4993.0,669.1,9078.0,11859.0
2013,843,Turkcell,Telecommunications services,Turkey,5895.0,1165.0,10463.0,14794.0
2014,958,Turkcell,Telecommunications services,Turkey,5963.0,1225.0,9973.0,12483.0
2015,1175,Turkcell,Telecommunications services,Turkey,5511.0,858.8,10318.0,10056.0
2016,1292,Turkcell,Telecommunications services,Turkey,4692.0,753.1,9063.0,9282.0
2017,1744,Turkcell,Telecommunications services,Turkey,4724.0,508.1,8983.0,7054.0
