Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1790,Ultrapar Participacoes,Oil & Gas Operations,Brazil,10230.0,90,5190.0,2000.0
2009,1444,Ultrapar Participacoes,Oil & Gas Operations,Brazil,11190.0,100,5170.0,3080.0
2010,1190,Ultrapar Participacoes,Oil & Gas Operations,Brazil,18310.0,240,6370.0,3870.0
2011,797,Ultrapar Participacoes,Chemicals,Brazil,25591.0,461.0,7521.0,11402.0
2015,899,Ultrapar Participacoes,Oil & Gas Operations,Brazil,28777.0,527.5,7328.0,11969.0
2016,944,Ultrapar Participacoes,Oil & Gas Operations,Brazil,22649.0,450.1,5299.0,11453.0
2017,981,Ultrapar Participacoes,Oil & Gas Operations,Brazil,22191.0,448.0,7423.0,12510.0
2018,1312,Ultrapar Participacoes,Oil & Gas Operations,Brazil,25489.0,397.7,8590.0,8190.0
2019,1637,Ultrapar Participacoes,Oil & Gas Operations,Brazil,24806.0,315.0,7869.0,6225.0
2020,1694,Ultrapar Participacoes,Oil & Gas Operations,Brazil,22637.0,94.7,7860.0,2915.0
2021,1888,Ultrapar Participacoes,Oil & Gas Operations,Brazil,15750.0,173.2,7097.0,4091.0
2022,1807,Ultrapar Participacoes,Oil & Gas Operations,Brazil,20335.0,157.6,6989.0,3263.0
