Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,665,Unibail Rodamco,Diversified Financials,France,1050.0,1560,37610.0,20090.0
2009,623,Unibail Rodamco,Diversified Financials,France,1630.0,1400,37280.0,10370.0
2010,1030,Unibail Rodamco,Diversified Financials,France,2490.0,-1550,34570.0,16960.0
2011,615,Unibail Rodamco,Real Estate,France,2202.0,2928.5,33495.0,18697.0
2012,652,Unibail Rodamco,Real Estate,France,2110.0,1719.9,34268.0,18954.0
2013,623,Unibail Rodamco,Real Estate,France,2276.0,1924.4,38980.0,22211.0
2014,622,Unibail Rodamco,Real Estate,France,2345.0,1713.4,44569.0,25178.0
2015,626,Unibail Rodamco,Real Estate,France,2735.0,2215.8,43042.0,26860.0
2016,603,Unibail Rodamco,Real Estate,France,2314.0,2588.2,41399.0,26394.0
2017,635,Unibail Rodamco,Real Estate,France,2366.0,2664.8,42976.0,23585.0
2018,659,Unibail Rodamco,Real Estate,France,2344.0,2751.6,51924.0,23322.0
2019,638,Unibail Rodamco,Construction,Netherlands,3225.0,1216.0,73764.0,40261.0
2020,1730,Unibail Rodamco,Construction,Netherlands,499.0,95.0,15680.0,13629.0
2021,1188,Unibail Rodamco,Construction,France,3016.0,-8222.2,70082.0,19240.0
2022,1503,Unibail Rodamco,Construction,France,2978.0,-1149.0,62454.0,10447.0
