Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,826,Unipol Gruppo,Insurance,Italy,17789.0,348.0,109679.0,1768.0
2014,874,Unipol Gruppo,Insurance,Italy,26299.0,-104.0,111192.0,5626.0
2015,915,Unipol Gruppo,Insurance,Italy,27545.0,246.7,107571.0,4026.0
2016,903,Unipol Gruppo,Insurance,Italy,20192.0,301.4,96546.0,3081.0
2017,869,Unipol Gruppo,Insurance,Italy,18449.0,364.6,96002.0,2864.0
2018,1012,Unipol Gruppo,Insurance,Italy,16112.0,-390.0,106989.0,3681.0
2019,750,Unipol Gruppo,Insurance,Italy,16404.0,833.0,87564.0,3692.0
2020,683,Unipol Gruppo,Insurance,Italy,17606.0,1010.2,84314.0,2467.0
2021,690,Unipol Gruppo,Insurance,Italy,15155.0,806.4,96136.0,4141.0
2022,891,Unipol Gruppo,Insurance,Italy,16891.0,740.6,90325.0,4076.0
