Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,109,United Technologies,Conglomerates,United States,54760.0,4220,54580.0,69110.0
2009,85,United Technologies,Conglomerates,United States,58680.0,4690,56470.0,38530.0
2010,94,United Technologies,Conglomerates,United States,52920.0,3830,55760.0,65280.0
2011,112,United Technologies,Conglomerates,United States,54326.0,4373.0,58493.0,74815.0
2012,120,United Technologies,Conglomerates,United States,58190.0,4979.0,61452.0,77690.0
2013,92,United Technologies,Conglomerates,United States,57708.0,5130.0,89409.0,85504.0
2014,90,United Technologies,Conglomerates,United States,62651.0,5718.0,90594.0,108067.0
2015,91,United Technologies,Conglomerates,United States,65196.0,6220.0,91289.0,107070.0
2016,95,United Technologies,Conglomerates,United States,59126.0,4044.0,87484.0,88442.0
2017,87,United Technologies,Conglomerates,United States,57383.0,5044.0,89706.0,90583.0
2018,99,United Technologies,Conglomerates,United States,61218.0,4463.0,98779.0,99591.0
2019,78,United Technologies,Conglomerates,United States,66485.0,5269.0,134211.0,118140.0
