Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,407,Vodafone,Telecommunications Services,United Kingdom,61230.0,-10590,214970.0,171940.0
2009,20,Vodafone,Telecommunications Services,United Kingdom,70390.0,13300,252080.0,93660.0
2010,46,Vodafone,Telecommunications Services,United Kingdom,58350.0,4380,217970.0,112260.0
2011,27,Vodafone,Telecommunications services,United Kingdom,67484.0,13118.4,236564.0,148214.0
2012,28,Vodafone,Telecommunications services,United Kingdom,73532.0,12769.2,239163.0,131161.0
2013,33,Vodafone,Telecommunications services,United Kingdom,74386.0,11149.0,219860.0,135675.0
2014,38,Vodafone,Telecommunications services,United Kingdom,65095.0,31763.0,235628.0,96897.0
2015,40,Vodafone,Telecommunications services,United Kingdom,66306.0,77401.4,200480.0,88035.0
2016,395,Vodafone,Telecommunications services,United Kingdom,64461.0,-2098.7,182405.0,87289.0
2017,419,Vodafone,Telecommunications services,United Kingdom,60839.0,-9263.8,175683.0,67036.0
2018,454,Vodafone,Telecommunications services,United Kingdom,48206.0,-19.8,173874.0,75957.0
2019,464,Vodafone,Telecommunications Services,United Kingdom,53869.0,-3846.0,155246.0,49557.0
2020,465,Vodafone,Telecommunications Services,United Kingdom,49403.0,-2473.5,174397.0,37869.0
2021,120,Vodafone,Telecommunications Services,United Kingdom,49742.0,2825.8,183944.0,52581.0
2022,481,Vodafone,Telecommunications Services,United Kingdom,53627.0,-291.0,178591.0,46356.0
