Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1894,Wistron,Technology Hardware & Equipment,Taiwan,8840.0,200,3350.0,1160.0
2010,1442,Wistron,Technology Hardware & Equipment,Taiwan,13530.0,210,4250.0,3280.0
2011,1294,Wistron,Technology Hardware & Equipment,Taiwan,19548.0,382.3,6882.0,3187.0
2012,1332,Wistron,Technology Hardware & Equipment,Taiwan,21089.0,412.4,7445.0,3305.0
2013,1555,Wistron,Technology Hardware & Equipment,Taiwan,22246.0,225.0,9383.0,2483.0
2014,1553,Wistron,Technology Hardware & Equipment,Taiwan,21964.0,223.4,9702.0,1965.0
2015,1617,Wistron,Technology Hardware & Equipment,Taiwan,19547.0,118.1,9479.0,2114.0
2016,1687,Wistron,Technology Hardware & Equipment,Taiwan,19628.0,42.0,8841.0,1444.0
2017,1667,Wistron,Technology Hardware & Equipment,Taiwan,19218.0,42.8,9395.0,2336.0
2018,1564,Wistron,Technology Hardware & Equipment,Taiwan,27482.0,127.7,10977.0,2075.0
2019,1579,Wistron,Technology Hardware & Equipment,Taiwan,29499.0,163.0,11032.0,2348.0
2020,1634,Wistron,Technology Hardware & Equipment,Taiwan,28411.0,220.0,11481.0,2699.0
2021,1441,Wistron,Technology Hardware & Equipment,Taiwan,28698.0,294.9,15262.0,3308.0
2022,1448,Wistron,Technology Hardware & Equipment,Taiwan,30864.0,374.8,17974.0,2829.0
