Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,433,Xerox,Business Services & Supplies,United States,17230.0,1140,23540.0,13490.0
2009,768,Xerox,Business Services & Supplies,United States,17610.0,230,22450.0,4480.0
2010,439,Xerox,Business Services & Supplies,United States,15180.0,490,24030.0,12990.0
2011,457,Xerox,Business Services & Supplies,United States,21633.0,606.0,30600.0,14554.0
2012,428,Xerox,Business Services & Supplies,United States,22626.0,1295.0,30116.0,11081.0
2013,458,Xerox,Business Services & Supplies,United States,22390.0,1195.0,30015.0,10660.0
2014,456,Xerox,Business Services & Supplies,United States,21589.0,1159.0,29036.0,13556.0
2015,521,Xerox,Business Services & Supplies,United States,20566.0,967.0,27658.0,14296.0
2016,679,Xerox,Business Services & Supplies,United States,18045.0,488.0,24817.0,11315.0
2017,1202,Xerox,Business Services & Supplies,United States,15612.0,-477.0,18145.0,7238.0
2018,1538,Xerox,Business Services & Supplies,United States,10246.0,178.0,16175.0,7684.0
2019,1513,Xerox,Business Services & Supplies,United States,9830.0,361.0,14874.0,7897.0
2020,1507,Xerox,Business Services & Supplies,United States,8793.0,589.0,14784.0,3893.0
