Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1151,Yamato Holdings,Transportation,Japan,9880.0,290,6950.0,6540.0
2009,878,Yamato Holdings,Transportation,Japan,12280.0,350,8650.0,4510.0
2010,917,Yamato Holdings,Transportation,Japan,12860.0,260,8650.0,6190.0
2011,1005,Yamato Holdings,Transportation,Japan,12849.0,345.4,9241.0,7132.0
2012,963,Yamato Holdings,Transportation,Japan,14875.0,399.5,10643.0,7270.0
2013,1208,Yamato Holdings,Transportation,Japan,15231.0,239.0,10962.0,7721.0
2014,1093,Yamato Holdings,Transportation,Japan,13776.0,344.0,10082.0,9813.0
2015,1176,Yamato Holdings,Transportation,Japan,13197.0,384.2,9305.0,10365.0
2016,1306,Yamato Holdings,Transportation,Japan,11663.0,301.8,9325.0,8566.0
2017,1280,Yamato Holdings,Transportation,Japan,13347.0,340.6,9974.0,8341.0
2018,1432,Yamato Holdings,Transportation,Japan,13884.0,164.5,10488.0,10571.0
2019,1346,Yamato Holdings,Transportation,Japan,14710.0,398.0,11086.0,9522.0
2020,1603,Yamato Holdings,Transportation,Japan,14911.0,127.5,10690.0,6961.0
2021,1307,Yamato Holdings,Transportation,Japan,15624.0,447.6,11037.0,10065.0
2022,1970,Yamato Holdings,Transportation,Japan,16133.0,433.3,10384.0,6929.0
