Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1301,Zoetis,Drugs & Biotechnology,United States,4336.0,436.0,6262.0,16720.0
2014,1330,Zoetis,Drugs & Biotechnology,United States,4561.0,504.0,6558.0,14696.0
2015,1207,Zoetis,Drugs & Biotechnology,United States,4785.0,583.0,6607.0,23196.0
2016,1323,Zoetis,Drugs & Biotechnology,United States,4765.0,339.0,7913.0,24155.0
2017,1047,Zoetis,Drugs & Biotechnology,United States,4888.0,821.0,7649.0,25833.0
2018,991,Zoetis,Drugs & Biotechnology,United States,5442.0,978.0,8690.0,40862.0
2019,895,Zoetis,Drugs & Biotechnology,United States,5825.0,1428.0,10777.0,47450.0
2020,812,Zoetis,Drugs & Biotechnology,United States,6260.0,1500.0,11545.0,61411.0
2021,723,Zoetis,Drugs & Biotechnology,United States,6675.0,1638.0,13609.0,79628.0
2022,790,Zoetis,Drugs & Biotechnology,United States,7776.0,2037.0,13900.0,85744.0
